"","mu","sigma","phase","year"
"1",8602.61639380397,0,"Observed",1972
"2",8735.79761309409,0,"Observed",1973
"3",8985.38525182903,0,"Observed",1974
"4",9121.66833423128,0,"Observed",1975
"5",9018.29462905415,0,"Observed",1976
"6",9135.72116042584,0,"Observed",1977
"7",9324.39105900459,0,"Observed",1978
"8",9156.99369983192,0,"Observed",1979
"9",8770.9461183614,0,"Observed",1980
"10",8099.59121978501,0,"Observed",1981
"11",7301.01651458699,0,"Observed",1982
"12",6964.03087214533,0,"Observed",1983
"13",6912.66133269455,0,"Observed",1984
"14",6732.16067774404,0,"Observed",1985
"15",6486.97652142286,0,"Observed",1986
"16",6467.72222213878,0,"Observed",1987
"17",6303.50756578306,0,"Observed",1988
"18",5902.40550847254,0,"Observed",1989
"19",5495.97449378873,0,"Observed",1990
"20",4947.54160976554,0,"Observed",1991
"21",4232.75162025303,0,"Observed",1992
"22",3509.58575365169,0,"Observed",1993
"23",2959.5215401605,0,"Observed",1994
"24",2615.83537213309,0,"Observed",1995
"25",2343.3152075465,0,"Observed",1996
"26",2147.18719578988,0,"Observed",1997
"27",2036.15283439434,0,"Observed",1998
"28",1980.31033910442,0,"Observed",1999
"29",1981.25007482241,0,"Observed",2000
"30",2004.96705144711,0,"Observed",2001
"31",2038.4440818501,0,"Observed",2002
"32",2077.73234621979,0,"Observed",2003
"33",2109.01004504197,0,"Observed",2004
"34",2144.98379636882,0,"Observed",2005
"35",2202.25497996192,0,"Observed",2006
"36",2284.46849183132,0,"Observed",2007
"37",2367.34036200209,0,"Observed",2008
"38",2447.98260728729,0,"Observed",2009
"39",2560.77967071827,0,"Observed",2010
"40",2727.89694805729,0,"Observed",2011
"41",2866.6591689504,0,"Observed",2012
"42",2959.37360116659,0,"Observed",2013
"43",3057.86947983853,0,"Observed",2014
"44",3157.21701589071,0,"Observed",2015
"45",3247.24310910927,0,"Observed",2016
"46",3335.41406289571,0,"Observed",2017
"47",3429.19711100491,0,"Observed",2018
"48",3530.99230613367,0,"Observed",2019
"49",3638.18001250779,0,"Observed",2020
"50",3694.17628465795,0,"Simulated",2021
"51",3783.07655728774,36.4700517659922,"Simulated",2022
"52",3918.84217366533,55.2162861811791,"Simulated",2023
"53",4061.11638253497,67.63180623708,"Simulated",2024
"54",4197.19966366479,82.2052882944027,"Simulated",2025
"55",4324.71869423358,92.7140534355669,"Simulated",2026
"56",4458.44075429892,104.103212781866,"Simulated",2027
"57",4585.15374839828,115.900677789905,"Simulated",2028
"58",4717.48282932292,132.652939854031,"Simulated",2029
"59",4832.68375497512,147.532170964405,"Simulated",2030
"60",4933.81791114795,162.674373664057,"Simulated",2031
"61",5036.20385094043,188.827502266118,"Simulated",2032
"62",5115.48050227452,218.907502981638,"Simulated",2033
"63",5184.99298630956,244.591161324045,"Simulated",2034
"64",5245.75367293064,269.20078501551,"Simulated",2035
"65",5308.04491399984,303.743143135169,"Simulated",2036
"66",5364.08144713904,325.396352245073,"Simulated",2037
"67",5399.1337054215,355.244016681875,"Simulated",2038
"68",5425.26514819381,387.34759398754,"Simulated",2039
"69",5452.1826001608,404.044869005001,"Simulated",2040
"70",5475.27514013939,427.976534397615,"Simulated",2041
"71",5499.16246030047,451.666891403953,"Simulated",2042
"72",5517.4207984169,477.183840722662,"Simulated",2043
"73",5524.82920619018,483.269005340328,"Simulated",2044
"74",5547.05577027654,509.477744425805,"Simulated",2045
"75",5548.35761695052,527.294289416688,"Simulated",2046
"76",5566.13531015413,549.73572410046,"Simulated",2047
"77",5582.68446428982,581.082076261276,"Simulated",2048
"78",5583.06341442706,605.078303052934,"Simulated",2049
"79",5589.76998092611,630.689598265097,"Simulated",2050
"80",5594.96156939779,640.956632018612,"Simulated",2051
"81",5587.24755908281,647.835085121477,"Simulated",2052
"82",5580.62090390716,659.471452444722,"Simulated",2053
"83",5582.45711601564,667.316670002263,"Simulated",2054
"84",5571.4650504948,676.153732878083,"Simulated",2055
"85",5568.2246426747,672.800207435239,"Simulated",2056
"86",5568.24360339687,686.142985013913,"Simulated",2057
"87",5557.2459030512,699.032895215181,"Simulated",2058
"88",5543.0521278799,724.165185969026,"Simulated",2059
"89",5534.20956889394,737.100331495392,"Simulated",2060
"90",5526.49194417828,759.311634348802,"Simulated",2061
"91",5520.29112561145,773.584884952716,"Simulated",2062
"92",5511.46986544754,792.444668048803,"Simulated",2063
"93",5477.63585505929,815.712843458161,"Simulated",2064
"94",5459.28324354894,831.606727470315,"Simulated",2065
"95",5447.55618200912,840.58214580559,"Simulated",2066
"96",5436.26428751611,840.673480518089,"Simulated",2067
"97",5437.45459162493,835.787914132442,"Simulated",2068
"98",5430.44423267487,846.23490737256,"Simulated",2069
"99",5423.69117947126,850.78879268198,"Simulated",2070
"100",5417.96451383037,857.945850371207,"Simulated",2071
"101",5397.70526206597,857.159216418551,"Simulated",2072
"102",5394.10823949755,855.923423195602,"Simulated",2073
"103",5388.09455383861,848.387411952745,"Simulated",2074
"104",5380.81773314884,847.680136962177,"Simulated",2075
"105",5380.86082295766,846.964927247414,"Simulated",2076
"106",5374.74560736574,840.553639613005,"Simulated",2077
"107",5371.03789943566,844.834017814777,"Simulated",2078
"108",5368.11836950225,850.236570701217,"Simulated",2079
"109",5354.3847460553,851.551977087566,"Simulated",2080
"110",5339.18441964008,855.036776643923,"Simulated",2081
"111",5333.09883306751,863.603042001279,"Simulated",2082
"112",5312.97339855356,850.977233630876,"Simulated",2083
"113",5300.80233591257,855.329833909824,"Simulated",2084
"114",5287.58922830024,868.030850134822,"Simulated",2085
"115",5273.44426870026,886.690280504999,"Simulated",2086
"116",5258.44185859181,895.425829829239,"Simulated",2087
"117",5246.62473512973,905.27013724363,"Simulated",2088
"118",5230.46840085953,905.260755375564,"Simulated",2089
"119",5226.65537283695,895.909331210563,"Simulated",2090
"120",5223.42724402418,891.638208595296,"Simulated",2091
"121",5211.95584514686,897.901741955772,"Simulated",2092
"122",5208.2199691692,904.25187549686,"Simulated",2093
"123",5213.9432752719,898.842308808433,"Simulated",2094
"124",5208.97062354205,897.601868171199,"Simulated",2095
