"","mu","sigma","phase","year"
"1",8602.6161998556,0,"Observed",1972
"2",8735.79742502142,0,"Observed",1973
"3",8985.38507505218,0,"Observed",1974
"4",9121.66816796583,0,"Observed",1975
"5",9018.29446643402,0,"Observed",1976
"6",9135.72101385199,0,"Observed",1977
"7",9324.39092744382,0,"Observed",1978
"8",9156.9935620582,0,"Observed",1979
"9",8770.94596943457,0,"Observed",1980
"10",8099.59104717153,0,"Observed",1981
"11",7301.01632138748,0,"Observed",1982
"12",6964.03069699226,0,"Observed",1983
"13",6912.66118234382,0,"Observed",1984
"14",6732.16054170439,0,"Observed",1985
"15",6486.9764114382,0,"Observed",1986
"16",6467.72215536885,0,"Observed",1987
"17",6303.50752942904,0,"Observed",1988
"18",5902.40548895778,0,"Observed",1989
"19",5495.97449273583,0,"Observed",1990
"20",4947.5416295473,0,"Observed",1991
"21",4232.75166278589,0,"Observed",1992
"22",3509.58582728777,0,"Observed",1993
"23",2959.52165024829,0,"Observed",1994
"24",2615.83551967891,0,"Observed",1995
"25",2343.31538783011,0,"Observed",1996
"26",2147.18740586436,0,"Observed",1997
"27",2036.15307150615,0,"Observed",1998
"28",1980.31060076787,0,"Observed",1999
"29",1981.25036553855,0,"Observed",2000
"30",2004.96737153211,0,"Observed",2001
"31",2038.44443094512,0,"Observed",2002
"32",2077.73272620284,0,"Observed",2003
"33",2109.01045325294,0,"Observed",2004
"34",2144.98423041787,0,"Observed",2005
"35",2202.25544386554,0,"Observed",2006
"36",2284.46898829425,0,"Observed",2007
"37",2367.34088622686,0,"Observed",2008
"38",2447.98315842424,0,"Observed",2009
"39",2560.78026031565,0,"Observed",2010
"40",2727.89759508704,0,"Observed",2011
"41",2866.65986663901,0,"Observed",2012
"42",2959.37433653931,0,"Observed",2013
"43",3057.87025444155,0,"Observed",2014
"44",3157.21783042514,0,"Observed",2015
"45",3247.24396080809,0,"Observed",2016
"46",3335.41495038377,0,"Observed",2017
"47",3429.19803449581,0,"Observed",2018
"48",3530.99326534191,0,"Observed",2019
"49",3638.18100755366,0,"Observed",2020
"50",3657.79542240338,0,"Simulated",2021
"51",3752.66087419858,35.1599180433405,"Simulated",2022
"52",3845.90254271993,49.2907638426076,"Simulated",2023
"53",3944.6307653492,61.9904613084846,"Simulated",2024
"54",4044.99923024955,73.635624491547,"Simulated",2025
"55",4143.7120323012,85.0045787478812,"Simulated",2026
"56",4243.2727424835,92.6113957833591,"Simulated",2027
"57",4342.70154585731,101.320505639987,"Simulated",2028
"58",4442.65252121647,112.399470486153,"Simulated",2029
"59",4542.83598787402,119.597655867011,"Simulated",2030
"60",4643.97188457019,125.607413294335,"Simulated",2031
"61",4742.76476619103,133.370945444704,"Simulated",2032
"62",4843.35875538794,141.985044586819,"Simulated",2033
"63",4943.79390245056,149.060346080575,"Simulated",2034
"64",5039.51549772383,158.866501925398,"Simulated",2035
"65",5139.45923982217,165.499696832189,"Simulated",2036
"66",5237.52437369049,169.962862642299,"Simulated",2037
"67",5336.22232709473,172.218441395586,"Simulated",2038
"68",5436.40434726456,178.337573122554,"Simulated",2039
"69",5536.46320162574,183.589525249427,"Simulated",2040
"70",5636.72281354755,187.882543841072,"Simulated",2041
"71",5733.90485553364,191.985120112362,"Simulated",2042
"72",5833.01766652455,198.186882878977,"Simulated",2043
"73",5929.19408728858,200.263918439484,"Simulated",2044
"74",6021.37577672132,200.737284800282,"Simulated",2045
"75",6113.12021322001,206.047194470045,"Simulated",2046
"76",6205.74907359261,215.216102914172,"Simulated",2047
"77",6295.45213529638,219.212140178369,"Simulated",2048
"78",6385.43178737389,222.447187600071,"Simulated",2049
"79",6473.6681457786,226.026799951632,"Simulated",2050
"80",6566.2563386843,234.332268886442,"Simulated",2051
"81",6648.35146096664,237.911867287731,"Simulated",2052
"82",6731.48564860958,239.264401841124,"Simulated",2053
"83",6811.94119819085,247.132019015066,"Simulated",2054
"84",6895.23652142856,253.437788699157,"Simulated",2055
"85",6971.8043663279,260.834884148644,"Simulated",2056
"86",7051.36476168147,264.562947140697,"Simulated",2057
"87",7129.31575703878,267.461014358429,"Simulated",2058
"88",7207.55667827254,274.03235295892,"Simulated",2059
"89",7272.25048515536,280.813265350162,"Simulated",2060
"90",7344.31067589169,280.352173610453,"Simulated",2061
"91",7412.43805544292,282.501533775588,"Simulated",2062
"92",7481.82280830932,299.423347462155,"Simulated",2063
"93",7549.00126155636,299.602904397407,"Simulated",2064
"94",7611.77272754205,299.539058539846,"Simulated",2065
"95",7669.71880423867,305.402141926107,"Simulated",2066
"96",7739.67745916519,302.578963862502,"Simulated",2067
"97",7805.96421540766,306.008437677351,"Simulated",2068
"98",7866.01280993239,307.229828155793,"Simulated",2069
"99",7920.01646924022,307.401313360842,"Simulated",2070
"100",7976.98465575224,311.123927852518,"Simulated",2071
"101",8024.90472234591,318.007487103294,"Simulated",2072
"102",8072.59550047496,328.98070884321,"Simulated",2073
"103",8121.12655993636,327.626825073207,"Simulated",2074
"104",8174.64945516744,329.327809815345,"Simulated",2075
"105",8224.22754914733,332.917405940496,"Simulated",2076
"106",8270.56146751781,335.33832240237,"Simulated",2077
"107",8314.24079569335,336.39817440876,"Simulated",2078
"108",8357.370750053,339.470540641707,"Simulated",2079
"109",8398.18487659657,338.430548673979,"Simulated",2080
"110",8432.93565421593,333.999940403144,"Simulated",2081
"111",8474.24934942063,333.564305818705,"Simulated",2082
"112",8514.54152778046,330.539489054817,"Simulated",2083
"113",8549.30386464333,335.827589701169,"Simulated",2084
"114",8579.32478890896,337.233895271573,"Simulated",2085
"115",8607.93968857993,340.434371826782,"Simulated",2086
"116",8636.06855913556,336.794035932008,"Simulated",2087
"117",8669.44279137406,339.005007381718,"Simulated",2088
"118",8702.41207691936,340.818037707458,"Simulated",2089
"119",8732.9426405099,345.167138118725,"Simulated",2090
"120",8759.74575611467,345.773699140136,"Simulated",2091
"121",8785.38178337129,338.21515855745,"Simulated",2092
"122",8801.88770464633,355.324765258964,"Simulated",2093
"123",8831.34235956783,355.190887771648,"Simulated",2094
"124",8854.89220995308,357.308439764792,"Simulated",2095
